Newstitle,sentiment,score
推出 首款 量产 混合 动 轿车,3,0.82549036
中国 南车 大 股东 拟 亿 护盘 新一轮 增持潮 再现,3,0.7418247
亿 增资 蒙维 科技 欲 做 聚乙烯醇,3,0.51698375
南海发展 水务 新兴产业 遍地开花,3,0.4431638
十个 亿 计划 曝光 煤炭 重组 或 掀 新高潮,3,0.52258396
投资 高新产业 收获 显现,3,0.8717571
沪 指大涨 超 剑 指 点 火热 长阳 迎 五中全会,3,0.7431251
引领 高新科技 的 新军,3,0.52192885
禾 盛新材 应收 账款 回笼 正常 目前 现金流 好转,3,0.53546196
掀开 券商 直投 ＋ 保荐 的 盖头 潜在 平均 收益率 高达,3,0.82699525
王亚伟 效应 再现 股东 数 个 月 内增,3,0.38551864
增资 子公司 建 聚乙烯醇 项目,3,0.39739987
柴油机 急涨 连高,3,0.9196468
投 资源 增点,3,0.941721
公布 参股 公司 首发 股票 申请 获准,3,0.44219658
外汇局 副局长 热钱 主要 流入 股市 楼市 获取 上涨 收益,3,0.5028485
橡胶 助剂 拓展 新型 领域,3,0.843284
领涨源 汽车 股 封死 涨停板,3,0.45338613
遭遇 年 不遇 降雪 天气 天然气 供应 告急,1,0.73256
降糖药 遭限售 波及 众药企,1,0.8074345
轨道 公共 建设 严重不足,1,0.9972633
地价 贬值 中服 地块 叫卖 陷 内定 门,1,0.9683894
恐遭 调控 处罚 闲置 年 土地 紧急 出售,1,0.5794204
陈述 过于 简略 信息 严重不足 总分 分,1,0.9915891
煤炭行业 地产 调控 将 间接 降低 煤炭 需求,1,0.74702334
三大 不利因素 降温 年 中国 车市,1,0.92194957
股东大会 走过场 企业亏损 严重,1,0.8559237
亿 债券 发行 汽车 金融 将 冲破 融资 瓶颈,2,0.9182977
抢险 难度 不小 — 山 在建 煤矿 透水 事故现场 见闻,2,0.9938111
哈尔滨 批次 成品油 不合格 鹏飞 上 黑榜,1,0.89871997
我区 遭遇 罕见 油荒 要 加油 需先 给 元 小费,1,0.7142957
内蒙古地区 遭遇 罕见 油荒 加油 先要 给 元 小费,1,0.6500692
叶荣添 这 一次 大盘 会 直接 跌破,1,0.7548524
深航 总裁 李昆 涉嫌犯罪 被查,1,0.757993
八大 机构 下降 趋势 仍 未 扭转,1,0.5259127
险企 介入 房地产 投资 保监会 暗示 暂 不 放行,1,0.8243317
未 销毁 毒奶粉 流向 成谜 曾 向 饲料 界 低价 抛销,1,0.92737854
金星 生存 逻辑 小步 快 跑 与 非 改制 不可,2,0.9335354
中 小盘 集体 沦陷 不远,1,0.5255808
终于 跌落 神坛 金士顿 骇客 神条 不足 组图,1,0.9612083
仰融 造车 受 质疑 模式 说不清 基地 未 落实,1,0.6033314
低碳 不是 口号 小家电 成为 家庭 的 点,2,0.9284707
大盘 不稳 转债 普跌,1,0.89845765
难题 一箩筐 吉利 网上 卖车 暂缓,1,0.70535886
价格体系 等 难题 一箩筐 吉利 网上 卖车 暂缓,1,0.577234
银广夏 年报 难 审计 非标 董 监事会 互 掐,1,0.9674333
难解 负债率 困局,1,0.5415269
刚 摘星 脱帽 又 陷 巨亏,1,0.7011118
董事长 贪污 难掩 巨亏 事实 走向 何方,1,0.55069846
遭 小姐 男友 刺破 心脏 开车 到 医院 就医,1,0.98686695
中 美 紧缩 货币政策 虎年 股市 开门 小跌,1,0.9995309
证监会 行政 处罚权 在 三地 试点 下放,2,0.8713619
突而 不破 玄机 何在 短线 防连跌,2,0.9874464
估值 吸 降低 谨慎 推荐 评级,2,0.8578808
年度 限制性 股票 解除 限售 数量 明细 图,1,0.51388144
房价 不跌 调控 料难 转向,1,0.82491356
信贷 调控 紧箍咒 效应 隐现 股 面临 低迷,1,0.9029572
调控 楼市 并不等于 让 泡沫 破灭,2,0.818189
机构 跌停板 上 出逃,1,0.7723097
郑步 春 大跌 可 接盘 横盘 则 观望 月 日,1,0.7207394
西安 咸阳 一 起飞时 遭鸟击 未 造成危害,2,0.689055
伊春 空难 细节 显示 下降时 机翼 曾 削断 树木,2,0.8733901
罗小布 不该 怕 失败 应学 中 移动,2,0.91532457
苗圩 不能 以 限制 汽车 的 方法 解决问题,1,0.8986948
创盈 号 巨亏 谁 之 过,1,0.5970536
深交所 月 连出 张 罚单 通报批评 等 公司,1,0.76091605
国内 开放 低空 空域 已 破冰 私人 不再 是 梦,3,0.7577938
* 中服 股权 生变 恒天 被动 上位,1,0.98904324
国 车 屡遭 非议 造假 实为 技术 原因,1,0.7177761
美 低级 错误 致 中国 企业 遭 重罚,1,0.7554055
黄光裕 拿 什么 交 亿 罚没 卖房 卖国 美 股票,1,0.977763
美媒痛 批小 最低 俗 的 艺人 本山 传媒 不恼 不怒 为何,1,0.97294354
为 的 紫砂 煲 不合格 市民 请慎 买,1,0.6155947
方舟子 曝唐骏 自传 造假 所涉 大学 已 关门,1,0.60744786
董事会 审计 委员会 对 投资 合肥市 国正 小额贷款 有限公司 的 图,2,0.9999131
借壳 * 源 发成 定局,2,0.53541315
福建 上杭县 称 紫 铜矿 渗入 汀江 废水 无 剧毒 物,2,0.6305229
